,stimLoc,Qthresh,Qthresh_backProp,Qthresh_forwardProp,vpeak,vThreshold,gamma,gammaAIS,deviation,CrossOverPosition,vRS03
63,soma(0.318182),4.5819091796875,4.5819091796875,,-62.9758756005597,-63.0,50.0,20.0,0.8,0.7,0.0
64,soma(0.318182),4.66461181640625,4.66461181640625,,-62.91959556466403,-63.0,50.0,20.0,0.9,0.7,0.0
65,soma(0.318182),4.749908447265625,4.749908447265625,,-60.54890163540528,-63.0,50.0,20.0,1.0,0.7,0.0
66,soma(0.318182),4.00054931640625,4.00054931640625,,-62.40807024436193,-63.0,50.0,20.0,0.0,0.8,0.0
67,soma(0.318182),4.0802001953125,4.0802001953125,,-62.57991660809465,-63.0,50.0,20.0,0.1,0.8,0.0
68,soma(0.318182),4.16351318359375,4.16351318359375,,-62.6515730734901,-63.0,50.0,20.0,0.2,0.8,0.0
69,soma(0.318182),4.25079345703125,4.25079345703125,,-62.701453874744374,-63.0,50.0,20.0,0.3,0.8,0.0
70,soma(0.318182),4.342193603515625,4.342193603515625,,-62.67333293113891,-63.0,50.0,20.0,0.4,0.8,0.0
71,soma(0.318182),4.438018798828125,4.438018798828125,,-62.82834794247396,-63.0,50.0,20.0,0.5,0.8,0.0
72,soma(0.318182),4.53826904296875,4.53826904296875,,-62.850434852823355,-63.0,50.0,20.0,0.6,0.8,0.0
73,soma(0.318182),4.643402099609375,4.643402099609375,,-60.381593198280555,-63.0,50.0,20.0,0.7,0.8,0.0
74,soma(0.318182),4.752960205078125,4.752960205078125,,-60.41515826050621,-63.0,50.0,20.0,0.8,0.8,0.0
75,soma(0.318182),4.86724853515625,4.86724853515625,,-60.44437426710495,-63.0,50.0,20.0,0.9,0.8,0.0
76,soma(0.318182),4.986419677734375,4.986419677734375,,-60.52055438526557,-63.0,50.0,20.0,1.0,0.8,0.0
